sample_id,source,asv_score,D_hat,coh_star,r_LZ,is_hallucination,text_length,num_tokens,unique_word_ratio,unique_sentence_ratio,llm_model,text_preview
halueval_qa_1221,halueval,0.27291666666666664,0.5,0.75,1.34375,True,10,4,1.0,1.0,gpt-4-turbo-preview,Otis Toole
halueval_qa_2467,halueval,0.36666666666666664,0.5,0.42857142857142855,1.0535714285714286,True,27,7,1.0,1.0,gpt-4-turbo-preview,Joy Franz was born in 1941.
halueval_qa_3206,halueval,0.36666666666666664,0.5,0.5,1.21875,True,9,4,1.0,1.0,gpt-4-turbo-preview,Comedian.
halueval_qa_4211,halueval,0.40833333333333327,0.5,0.5,0.96875,True,39,8,1.0,1.0,gpt-4-turbo-preview,Queen Victoria died on 22 January 1901.
halueval_qa_3073,halueval,0.41428571428571415,0.5,0.2857142857142857,0.9553571428571429,True,63,14,1.0,1.0,gpt-4-turbo-preview,The 1926 Navy Midshipmen football team was located in Maryland.
truthfulqa_429,truthfulqa,0.4499999999999999,0.5,0.3333333333333333,0.9375,False,48,12,1.0,1.0,gpt-4-turbo-preview,"The movie you're referring to is ""Citizen Ruth."""
halueval_qa_573,halueval,0.4499999999999999,0.5,0.35,0.9375,True,83,20,1.0,1.0,gpt-4-turbo-preview,"""Knocked Up"" starred Seth Rogen, who is of dual nationality: Canadian and American."
halueval_qa_1562,halueval,0.4543859649122806,0.5,0.3157894736842105,0.9342105263157895,True,79,19,0.8571428571428571,1.0,gpt-4-turbo-preview,"The Naga Chili is closely related to the Naga Morich, which is from Bangladesh."
halueval_qa_1412,halueval,0.4604166666666666,0.5,0.375,0.9296875,False,60,16,0.9090909090909091,1.0,gpt-4-turbo-preview,Al Capone was the co-founder and boss of the Chicago Outfit.
truthfulqa_420,truthfulqa,0.46190476190476176,0.5,0.5714285714285714,0.9285714285714286,False,24,7,1.0,1.0,gpt-4-turbo-preview,His name is Donald Tusk.
halueval_qa_275,halueval,0.4619047619047618,0.5,0.2857142857142857,0.9196428571428571,False,43,14,1.0,1.0,gpt-4-turbo-preview,"Yes, both Calochone and Adlumia are plants."
halueval_qa_4011,halueval,0.4666666666666665,0.5,0.4,0.925,False,37,10,1.0,1.0,gpt-4-turbo-preview,Titan and Balderdash are board games.
