sample_id,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens,source,metadata
sharegpt_000000,0.5,0.19444444444444445,0.057291666666666664,0.33599537037037036,486,72,sharegpt_synthetic,"{'type': 'minor_repetition', 'length': 486}"
sharegpt_000001,0.5,0.17982456140350878,0.04111842105263158,0.3076388888888889,1748,228,sharegpt_synthetic,"{'type': 'normal', 'length': 1748}"
sharegpt_000002,0.5,0.1893939393939394,0.038825757575757576,0.3133207070707071,1012,132,sharegpt_synthetic,"{'type': 'normal', 'length': 1012}"
sharegpt_000003,0.5,0.18055555555555555,0.10243055555555555,0.36956018518518513,972,144,sharegpt_synthetic,"{'type': 'minor_repetition', 'length': 972}"
sharegpt_000004,0.5,0.19298245614035087,0.06140350877192982,0.3388888888888889,1748,228,sharegpt_synthetic,"{'type': 'normal', 'length': 1748}"
sharegpt_000005,0.5,0.17647058823529413,0.032475490196078434,0.29620098039215687,1564,204,sharegpt_synthetic,"{'type': 'normal', 'length': 1564}"
sharegpt_000006,0.5,0.21428571428571427,0.05357142857142857,0.3488095238095238,567,84,sharegpt_synthetic,"{'type': 'minor_repetition', 'length': 567}"
sharegpt_000007,0.5,0.1987179487179487,0.03766025641025641,0.31992521367521365,1196,156,sharegpt_synthetic,"{'type': 'normal', 'length': 1196}"
sharegpt_000008,0.5,0.17708333333333334,0.10546875,0.3697048611111111,736,96,sharegpt_synthetic,"{'type': 'normal', 'length': 736}"
sharegpt_000009,0.5,0.18888888888888888,0.04861111111111111,0.3226851851851852,1380,180,sharegpt_synthetic,"{'type': 'normal', 'length': 1380}"
sharegpt_000010,0.5,0.171875,0.033854166666666664,0.29375,1472,192,sharegpt_synthetic,"{'type': 'normal', 'length': 1472}"
sharegpt_000011,0.5,0.171875,0.022786458333333332,0.28268229166666664,1472,192,sharegpt_synthetic,"{'type': 'normal', 'length': 1472}"
sharegpt_000012,0.5,0.2013888888888889,0.1076388888888889,0.39212962962962966,1104,144,sharegpt_synthetic,"{'type': 'normal', 'length': 1104}"
