method,score,decision,latency_ms,cost_usd,D_hat,coh_star,r_LZ,sample_id,ground_truth,degeneracy_type,raw_score,tokens,consistency_scores,n_samples
ASV,0.31588541666666664,reject,46.054840087890625,2e-06,0.5,0.1875,0.04296875,sample_0000,True,repetition_loop,,,,
ASV,0.3324404761904762,reject,58.23993682861328,2e-06,0.5,0.20535714285714285,0.044642857142857144,sample_0001,True,semantic_drift,,,,
ASV,0.6359349228458083,accept,45.35222053527832,2e-06,1.4059909391804482,0.17777777777777778,0.1597222222222222,sample_0002,True,incoherent,,,,
ASV,0.6402315725469145,accept,65.68193435668945,2e-06,1.47491020269024,0.21212121212121213,0.11931818181818182,sample_0003,False,normal,,,,
ASV,0.31588541666666664,reject,46.25201225280762,2e-06,0.5,0.1875,0.04296875,sample_0004,True,repetition_loop,,,,
ASV,0.3381098075294528,reject,82.02290534973145,2e-06,0.5402410118609202,0.17857142857142858,0.06324404761904762,sample_0005,True,semantic_drift,,,,
ASV,0.5684027777777778,reject,55.77278137207031,2e-06,1.5208488438397725,0.20833333333333334,0.04479166666666667,sample_0006,True,incoherent,,,,
ASV,0.5728535353535353,reject,58.59994888305664,2e-06,1.5248056301815454,0.19696969696969696,0.058712121212121215,sample_0007,False,normal,,,,
ASV,0.3490384615384615,reject,77.05879211425781,2e-06,0.5,0.19230769230769232,0.07211538461538461,sample_0008,True,repetition_loop,,,,
ASV,0.3963106880381625,reject,62.78824806213379,2e-06,0.7545968262860026,0.2,0.05357142857142857,sample_0009,True,semantic_drift,,,,
ASV,0.6147101977302121,accept,44.79527473449707,2e-06,1.4499484664628133,0.2,0.10972222222222222,sample_0010,True,incoherent,,,,
ASV,0.5141895680856553,reject,34.047842025756836,2e-06,1.203669577509951,0.2,0.06666666666666667,sample_0011,False,normal,,,,
ASV,0.31588541666666664,reject,48.375844955444336,2e-06,0.5,0.1875,0.04296875,sample_0012,True,repetition_loop,,,,
ASV,0.2958994708994709,reject,57.527780532836914,2e-06,0.5,0.1746031746031746,0.03373015873015873,sample_0013,True,semantic_drift,,,,
ASV,0.5851770246772007,reject,47.38473892211914,2e-06,1.4864729629022886,0.19,0.08,sample_0014,True,incoherent,,,,
ASV,0.5475537026088249,reject,69.57387924194336,2e-06,1.424039677847345,0.1794871794871795,0.06570512820512821,sample_0015,False,normal,,,,
ASV,0.3591435185185185,reject,36.48996353149414,2e-06,0.5,0.2222222222222222,0.057291666666666664,sample_0016,True,repetition_loop,,,,
ASV,0.35079365079365077,reject,39.97397422790527,2e-06,0.5,0.20238095238095238,0.06547619047619048,sample_0017,True,semantic_drift,,,,
ASV,0.6427083333333333,accept,55.249929428100586,2e-06,1.5045217015691856,0.225,0.10520833333333333,sample_0018,True,incoherent,,,,
ASV,0.5729662698412699,reject,73.61888885498047,2e-06,1.5248056301815454,0.18452380952380953,0.06919642857142858,sample_0019,False,normal,,,,
ASV,0.37939814814814815,reject,36.14616394042969,2e-06,0.5,0.2361111111111111,0.06597222222222222,sample_0020,True,repetition_loop,,,,
ASV,0.31346726190476193,reject,57.59716033935547,2e-06,0.5,0.17857142857142858,0.04799107142857143,sample_0021,True,semantic_drift,,,,
ASV,0.7030769858056358,accept,50.14300346374512,2e-06,1.433641627478699,0.18181818181818182,0.21704545454545454,sample_0022,True,incoherent,,,,
ASV,0.5600741476846163,reject,35.94017028808594,2e-06,1.3859328551562924,0.19444444444444445,0.07465277777777778,sample_0023,False,normal,,,,
